Record ID,Created Date,Date Closed,Due Date,Last Modified Date,Implementation Phase,Implementation Type,Record ID,Target Implementation Date,URL-Record ID,URL-Record ID
CA-016643,28-02-24 13:22,06-Jun-24,29-Oct-24,06-06-24 11:59,N/A,Pre-Implementation,QE-007011,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ017,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ003
CA-016642,28-02-24 13:21,06-Jun-24,29-Oct-24,06-06-24 9:11,N/A,Pre-Implementation,QE-007011,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ016,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ003
CA-016629,26-02-24 17:12,23-May-24,29-Oct-24,23-05-24 10:44,N/A,Pre-Implementation,QE-007007,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ001
CA-016628,26-02-24 17:10,23-May-24,29-Oct-24,23-05-24 10:45,N/A,Pre-Implementation,QE-007007,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ001
CA-016627,26-02-24 17:09,23-May-24,29-Oct-24,23-05-24 10:53,N/A,Pre-Implementation,QE-007007,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ001
CA-016626,26-02-24 17:04,23-May-24,29-Oct-24,23-05-24 10:42,N/A,Pre-Implementation,QE-007004,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VF010
CA-016625,26-02-24 17:02,23-May-24,29-Oct-24,23-05-24 10:40,N/A,Pre-Implementation,QE-007004,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VF010
CA-016624,26-02-24 16:59,23-May-24,29-Oct-24,23-05-24 10:37,N/A,Pre-Implementation,QE-007004,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XL003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VF010
CA-016619,26-02-24 13:01,13-Jun-24,29-Mar-24,13-06-24 9:40,NA,Pre-Implementation,QE-007002,30-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VH010
CA-016618,26-02-24 12:45,13-Jun-24,05-Apr-24,13-06-24 9:40,NA,Pre-Implementation,QE-007002,30-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VH010
CA-016453,13-02-24 10:57,20-Feb-24,29-Apr-24,20-02-24 8:36,N/A,Pre-Implementation,QE-006825,29-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XA006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ005
CA-016405,31-01-24 12:28,21-Feb-24,28-May-24,21-02-24 11:23,N/A,Post-Implementation,QE-006893,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000X0005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3005
CA-016404,31-01-24 9:22,08-Feb-24,29-Mar-24,08-02-24 11:36,N/A,Post-Implementation,QE-006824,29-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000X0004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TN005
CA-016391,26-01-24 10:50,08-Feb-24,29-Mar-24,08-02-24 12:04,N/A,Post-Implementation,QE-006860,29-Mar-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000X0002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TT006
CA-016338,16-01-24 16:15,13-Jun-24,31-May-24,13-06-24 14:39,N/A,Pre-Implementation,QE-006923,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WU011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UQ001
CA-016337,16-01-24 16:14,08-Mar-24,31-May-24,08-03-24 9:25,N/A,Pre-Implementation,QE-006923,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WS012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UQ001
CA-016336,16-01-24 16:13,13-Jun-24,31-May-24,13-06-24 14:32,N/A,Pre-Implementation,QE-006923,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WR019,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UQ001
CA-016335,16-01-24 16:05,21-Mar-24,30-Apr-24,21-03-24 12:12,N/A,Pre-Implementation,QE-006962,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WT012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000V0004
CA-016334,16-01-24 16:05,21-Mar-24,30-Apr-24,21-03-24 12:11,N/A,Pre-Implementation,QE-006962,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WR018,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000V0004
CA-016333,16-01-24 15:56,14-Mar-24,31-May-24,14-03-24 13:12,N/A,Pre-Implementation,QE-006922,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WS011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UP001
CA-016332,16-01-24 15:46,06-Mar-24,31-May-24,06-03-24 10:27,N/A,Pre-Implementation,QE-006922,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WR017,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UP001
CA-016331,16-01-24 15:44,14-Mar-24,31-May-24,14-03-24 13:10,N/A,Pre-Implementation,QE-006922,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WU010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UP001
CA-016330,16-01-24 15:34,14-Mar-24,31-May-24,14-03-24 13:08,N/A,Pre-Implementation,QE-006921,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WT011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UO001
CA-016329,16-01-24 15:33,06-Mar-24,31-May-24,06-03-24 10:18,N/A,Pre-Implementation,QE-006921,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WT010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UO001
CA-016328,16-01-24 15:31,14-Mar-24,31-May-24,14-03-24 13:06,N/A,Pre-Implementation,QE-006921,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WS010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UO001
CA-016307,12-01-24 13:31,19-Mar-24,17-Jan-24,19-03-24 9:53,N/A,Post-Implementation,QE-006619,31-Aug-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WR010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000RR007
CA-016282,09-01-24 9:05,28-Mar-24,31-Jan-24,28-03-24 11:51,,Post-Implementation,QE-006613,20-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WN008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000RQ002
CA-016281,08-01-24 17:09,06-Feb-24,31-Jan-24,06-02-24 11:23,,Post-Implementation,QE-006532,24-Jan-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WQ003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000QY005
CA-016278,08-01-24 13:53,29-Jan-24,31-Jan-24,06-06-24 9:20,N/A,Post-Implementation,QE-006613,20-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WP007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000RQ002
CA-016267,05-01-24 16:34,07-Feb-24,28-May-24,07-02-24 12:07,N/A,Pre-Implementation,QE-006920,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WP002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UN001
CA-016266,05-01-24 16:32,15-Feb-24,28-May-24,15-02-24 8:51,N/A,Pre-Implementation,QE-006920,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WP001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UN001
CA-016264,05-01-24 16:26,07-Feb-24,28-May-24,07-02-24 16:35,N/A,Pre-Implementation,QE-006919,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WN003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UM001
CA-016263,05-01-24 16:24,15-Feb-24,28-May-24,15-02-24 8:53,N/A,Pre-Implementation,QE-006919,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WN002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000UM001
CA-016212,22-12-23 13:50,15-May-24,01-Jul-24,15-05-24 15:38,N/A,Pre-Implementation,QE-006046,30-Nov-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WH002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000L6003
CA-016206,21-12-23 11:28,16-Jan-24,29-Apr-24,16-01-24 14:13,N/A,Post-Implementation,QE-006819,29-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WE001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TJ003
CA-016205,21-12-23 9:25,16-Jan-24,30-Apr-24,16-01-24 14:22,N/A,Post-Implementation,QE-006856,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WD001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TR003
CA-016197,19-12-23 18:15,01-Mar-24,31-May-24,18-06-24 11:53,N/A,Pre-Implementation,QE-006896,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WC003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U6001
CA-016196,19-12-23 18:14,01-Mar-24,31-May-24,18-06-24 11:53,N/A,Pre-Implementation,QE-006896,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WA012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U6001
CA-016195,19-12-23 18:09,15-Feb-24,31-May-24,15-02-24 9:03,N/A,Pre-Implementation,QE-006897,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WB006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U7001
CA-016194,19-12-23 18:08,14-Feb-24,31-May-24,14-02-24 10:36,N/A,Pre-Implementation,QE-006897,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WC002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U7001
CA-016193,19-12-23 17:38,29-Mar-24,28-May-24,29-03-24 8:46,N/A,Pre-Implementation,QE-006895,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000WC001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3007
CA-016192,19-12-23 17:37,29-Mar-24,28-May-24,29-03-24 8:45,N/A,Pre-Implementation,QE-006895,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W9020,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3007
CA-016114,14-12-23 13:53,27-Mar-24,28-May-24,16-04-24 13:57,N/A,Pre-Implementation,QE-006892,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W3014,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3003
CA-016113,14-12-23 13:50,19-Mar-24,28-Feb-24,17-04-24 13:29,,Post-Implementation,QE-006619,31-Aug-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W4007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000RR007
CA-016112,14-12-23 13:50,27-Mar-24,28-May-24,16-04-24 13:57,N/A,Pre-Implementation,QE-006892,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W3013,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3003
CA-016087,12-12-23 13:50,23-Feb-24,30-Apr-24,23-02-24 13:30,N/A,Pre-Implementation,QE-006874,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W2007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TW006
CA-016086,12-12-23 13:49,15-Feb-24,30-Apr-24,15-02-24 8:50,N/A,Pre-Implementation,QE-006874,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W2006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TW006
CA-016085,12-12-23 13:47,23-Feb-24,30-Apr-24,23-02-24 14:54,N/A,Pre-Implementation,QE-006874,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W2005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TW006
CA-016084,12-12-23 13:28,28-Feb-24,26-Jun-24,28-02-24 16:25,N/A,Pre-Implementation,QE-006885,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W3005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U0001
CA-016083,12-12-23 13:27,28-Feb-24,26-Jun-24,28-02-24 16:26,N/A,Pre-Implementation,QE-006885,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W4005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U0001
CA-016082,12-12-23 13:26,28-Feb-24,26-Jun-24,28-02-24 16:25,N/A,Pre-Implementation,QE-006885,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W4004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U0001
CA-016081,12-12-23 13:21,28-Feb-24,26-Jun-24,28-02-24 16:26,N/A,Pre-Implementation,QE-006884,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W1009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TZ002
CA-016080,12-12-23 13:19,28-Feb-24,26-Jun-24,28-02-24 16:25,N/A,Pre-Implementation,QE-006884,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W4003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TZ002
CA-016079,12-12-23 13:15,28-Feb-24,26-Jun-24,28-02-24 16:27,N/A,Pre-Implementation,QE-006884,26-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W2004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TZ002
CA-016078,12-12-23 12:18,08-Feb-24,28-May-24,20-02-24 14:40,N/A,Pre-Implementation,QE-006893,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W4002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3005
CA-016077,12-12-23 12:17,08-Feb-24,28-May-24,20-02-24 14:40,N/A,Pre-Implementation,QE-006893,28-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000W3004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000U3005
CA-016016,07-12-23 9:47,22-May-24,30-Apr-24,22-05-24 10:55,N/A,Pre-Implementation,QE-006873,30-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VV001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TX003
CA-016015,07-12-23 9:46,08-Mar-24,30-Apr-24,08-03-24 9:28,N/A,Pre-Implementation,QE-006873,30-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VU002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TX003
CA-016014,07-12-23 9:43,22-May-24,30-Apr-24,22-05-24 10:56,N/A,Pre-Implementation,QE-006873,30-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VU001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TX003
CA-016001,06-12-23 13:12,20-Dec-23,15-Dec-23,20-12-23 15:17,N/A,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VP010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
CA-016000,06-12-23 13:10,19-Dec-23,18-Dec-23,19-12-23 12:08,N/A,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VR018,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
CA-015976,04-12-23 22:43,19-Dec-23,19-Dec-23,19-12-23 14:41,,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VR006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
CA-015975,04-12-23 22:40,19-Dec-23,19-Dec-23,19-12-23 14:42,,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VQ009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
CA-015974,04-12-23 22:38,19-Dec-23,15-Dec-23,19-12-23 14:41,,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VQ008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
CA-015973,04-12-23 22:37,19-Dec-23,15-Dec-23,19-12-23 14:34,,Pre-Implementation,QE-006843,15-Dec-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000VQ007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TQ012
